ID lon lat srtm PPT_sm PPT_sp Tave_sm Tave_sp
612932 -82.33957 36.13795 863 360.786744623171 333.758691525948 20.4938038561014 10.9618901055248
612933 -82.33957 36.13795 863 360.786744623171 333.758691525948 20.4938038561014 10.9618901055248
612939 -82.12236 36.17533 1116 398.338509332151 329.131143964049 19.0054027060646 9.60540273192047
612941 -82.33957 36.13795 863 360.786744623171 333.758691525948 20.4938038561014 10.9618901055248
613585 -88.92817 46.37789 488 259.887414659338 167.970245725914 17.4082827567855 3.90496704755995
613586 -88.92817 46.37789 488 259.887414659338 167.970245725914 17.4082827567855 3.90496704755995
613591 -88.91342 46.29309 504 267.252961942473 179.252961942473 17.5 4.09999990463257
613592 -88.95323 46.35417 505 261.491595675742 171.523978464709 17.5 4
613593 -88.95323 46.35417 505 261.491595675742 171.523978464709 17.5 4
613594 -88.94563 46.36552 514 261.612714962 172.225429923999 17.5 4
613597 -88.95335 46.35368 505 261.490782757456 171.496669479674 17.5 4
613598 -88.91712 46.37799 489 258.170704712997 166.900200832938 17.4871768760119 3.90000009536743
613606 -89.06899 45.90355 517 273.58327994286 187 17.6000003814697 3.90000009536743
613607 -89.06899 45.90355 517 273.58327994286 187 17.6000003814697 3.90000009536743
613608 -89.06899 45.90355 517 273.58327994286 187 17.6000003814697 3.90000009536743
613609 -88.861 45.929 514 272.072519505295 186.871192517979 17.6000003814697 4
613610 -88.86034 45.92878 514 272.121910411176 186.888435949161 17.6000003814697 4
613611 -88.88867 45.86375 510 270.021637515564 187.365549160758 17.6000003814697 4.09658947570872
613612 -88.88867 45.86375 510 270.021637515564 187.365549160758 17.6000003814697 4.09658947570872
613652 -77.66086 45.58094 306 248.938168672168 193.20144841852 17.50618315637 3.90618314751602
613654 -77.66086 45.58094 306 248.938168672168 193.20144841852 17.50618315637 3.90618314751602
613657 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613658 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613660 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613661 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613662 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613663 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613669 -77.6868559 45.6677817 182 241.514624481207 186.429604541583 18.0242688685177 4.42426884816258
613671 -77.6868559 45.6677817 182 241.514624481207 186.429604541583 18.0242688685177 4.42426884816258
613673 -77.6868559 45.6677817 182 241.514624481207 186.429604541583 18.0242688685177 4.42426884816258
613676 -77.53545 45.68915 203 243.243134360943 190.947391344594 18.2244583039411 4.42971884676584
613677 -77.53545 45.68915 203 243.243134360943 190.947391344594 18.2244583039411 4.42971884676584
613690 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
613691 -86.9761973 48.8665693 321 239.333315927823 145.354171634625 13.8683491983869 0.667508905939206
614261 -66.854 45.794 171 279.263099390326 277.113228520085 17.2904397857044 4.09433848402747
614262 -66.919051 45.82499 138 275.386180652408 267.786265078793 17.6009022644378 4.30000019073486
614268 -66.919051 45.82499 138 275.386180652408 267.786265078793 17.6009022644378 4.30000019073486
614269 -66.919051 45.82499 138 275.386180652408 267.786265078793 17.6009022644378 4.30000019073486
614270 -66.919051 45.82499 138 275.386180652408 267.786265078793 17.6009022644378 4.30000019073486
614273 -67.18008 45.75421 194 282.051056734726 271.672953149102 17.5208946748362 4.32089474978815
614276 -66.86854 45.71443 141 274.69226210089 276.848758398913 17.3999996185303 4.23077371656888
614277 -66.86854 45.71443 141 274.69226210089 276.848758398913 17.3999996185303 4.23077371656888
614278 -66.86854 45.71443 141 274.69226210089 276.848758398913 17.3999996185303 4.23077371656888
614279 -63.2413358 44.9230007 31 288.907776202911 317.024817510432 17.3999996185303 4.50017937657128
614280 -63.2413358 44.9230007 31 288.907776202911 317.024817510432 17.3999996185303 4.50017937657128
614281 -63.2413358 44.9230007 31 288.907776202911 317.024817510432 17.3999996185303 4.50017937657128
614282 -63.2413358 44.9230007 31 288.907776202911 317.024817510432 17.3999996185303 4.50017937657128
614283 -63.3232274 44.9144398 66 290.235320975733 324.717484980072 17.2999992370605 4.37646802023614
614284 -63.3232274 44.9144398 66 290.235320975733 324.717484980072 17.2999992370605 4.37646802023614
614285 -63.3232274 44.9144398 66 290.235320975733 324.717484980072 17.2999992370605 4.37646802023614
614287 -69.4469979 45.6711541 376 316.013198930863 251.209920574162 16.4986801018787 2.19868015270933
614288 -69.4469979 45.6711541 376 316.013198930863 251.209920574162 16.4986801018787 2.19868015270933
614289 -69.332 45.617 392 324.092396300864 268.548287752558 16.2047952854999 1.86859179205511
614293 -69.332 45.617 392 324.092396300864 268.548287752558 16.2047952854999 1.86859179205511
614294 -69.5107309 45.5990454 315 305.479641891382 241.263731306597 16.7999992370605 2.70000004768372
614297 -69.332 45.617 392 324.092396300864 268.548287752558 16.2047952854999 1.86859179205511
614299 -69.4469979 45.6711541 376 316.013198930863 251.209920574162 16.4986801018787 2.19868015270933
614302 -69.54654 45.54339 348 305.672282563842 242.253330066289 16.7999992370605 2.76219275893389
614305 -69.57217 45.51109 332 306 243.375081924649 16.7556358567667 2.70217746370951
614307 -69.57217 45.51109 332 306 243.375081924649 16.7556358567667 2.70217746370951
